continent,country,city,name,latitude,longitude,website,extra
AF,South Africa,Bovlei,Andreas Guest House,-33.63193,19.04254,http://www.andreas.co.za/,
AF,South Africa,Bovlei,Napier Vineyards,-33.63889,19.03782,http://www.napier-vineyards.co.za/,
AF,South Africa,Bovlei,Wellington Wines Tasting Room,-33.63854,19.03165,http://www.wellingtonwines.com/,
AF,South Africa,Bovlei,Welvanpas Family Vineyards,-33.63335,19.06965,,
AF,South Africa,Bovlei,NABYGELEGEN PRIVATE CELLAR,-33.63193,19.06441,http://www.nabygelegen.co.za/,
AF,South Africa,Bovlei,The Vineyard Cottage,-33.62136,19.03002,,
AF,South Africa,Bovlei,Onverwacht Family Farm PTY,-33.62697,19.04575,http://www.onverwacht.com/,
AF,South Africa,Bovlei,Bosman Adama Grapevines and Plant Improvement,-33.62507,19.02668,https://bosmanadama.co.za/,16;1160;3;630;177;6;2;20;149;134;183;73;7;9;1;27;14;67;269;12;21;41;15;529;730;69;19;131;0;735;28;51;744;821;151;34;473;169;10;92;135;120;24;11;5;13;95;89;8;815
AF,South Africa,Breedekloof,Rico Suter Wines - Country House,-33.52746,19.2538,,
AF,South Africa,Breedekloof,Botha Wine Cellar / Kelder,-33.56679,19.25767,http://www.bothakelder.co.za/,
AF,South Africa,Breedekloof,Bergsig Wine Estate Icarus,-33.51906,19.19277,http://www.bergsig.co.za/,
AF,South Africa,Breedekloof,Mountain Ridge Winery,-33.47381,19.20248,https://mountainridge.co.za/,2;1;21;28;5
AF,South Africa,Breedekloof,Waboomsrivier Wine Cellar,-33.52964,19.20956,https://www.wabooms.com/,2;67;21;28;10;5
AF,South Africa,Breedekloof,Seven Oaks Winery,-33.52861,19.23073,http://www.sevenoaks.co.za/,
AF,South Africa,Breedekloof,Bosjes Manor House,-33.5536,19.26878,http://www.bosjes.co.za/,
AF,South Africa,Breedekloof,Silkbush Mountain Vineyards,-33.50281,19.26781,http://www.silkbush.com/,
AF,South Africa,Breedekloof,Romansrivier Farm,-33.46901,19.21477,,
